username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2018-01-02 21:49;14823;84132;"Companies are giving big bonuses to their workers because of the Tax Cut Bill. Really great!";;;;"948189482284707840";https://twitter.com/realDonaldTrump/status/948189482284707840
realDonaldTrump;2018-01-02 21:44;13732;67337;"Thank you to Brandon Judd of the National Border Patrol Council for your kind words on how well we are doing at the Border. We will be bringing in more & more of your great folks and will build the desperately needed WALL! @ foxandfriends";;@;;"948188264858603520";https://twitter.com/realDonaldTrump/status/948188264858603520
realDonaldTrump;2018-01-02 20:48;35934;126991;"Crooked Hillary Clinton’s top aid, Huma Abedin, has been accused of disregarding basic security protocols. She put Classified Passwords into the hands of foreign agents. Remember sailors pictures on submarine? Jail! Deep State Justice Dept must finally act? Also on Comey & others";;;;"948174033882927104";https://twitter.com/realDonaldTrump/status/948174033882927104
realDonaldTrump;2018-01-02 20:09;26836;102506;"The people of Iran are finally acting against the brutal and corrupt Iranian regime. All of the money that President Obama so foolishly gave them went into terrorism and into their “pockets.” The people have little food, big inflation and no human rights. The U.S. is watching!";;;;"948164289591902208";https://twitter.com/realDonaldTrump/status/948164289591902208
realDonaldTrump;2018-01-01 21:37;16030;111105;"Will be leaving Florida for Washington (D.C.) today at 4:00 P.M. Much work to be done, but it will be a great New Year!";;;;"947824196909961216";https://twitter.com/realDonaldTrump/status/947824196909961216
realDonaldTrump;2018-01-01 20:44;27535;107797;"Iran is failing at every level despite the terrible deal made with them by the Obama Administration. The great Iranian people have been repressed for many years. They are hungry for food & for freedom. Along with human rights, the wealth of Iran is being looted. TIME FOR CHANGE!";;;;"947810806430826496";https://twitter.com/realDonaldTrump/status/947810806430826496
realDonaldTrump;2018-01-01 20:12;97021;295876;"The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they have given us nothing but lies & deceit, thinking of our leaders as fools. They give safe haven to the terrorists we hunt in Afghanistan, with little help. No more!";;;;"947802588174577664";https://twitter.com/realDonaldTrump/status/947802588174577664
realDonaldTrump;2018-01-01 07:43;39554;189915;"HAPPY NEW YEAR! We are MAKING AMERICA GREAT AGAIN, and much faster than anyone thought possible!";;;;"947614110082043904";https://twitter.com/realDonaldTrump/status/947614110082043904
realDonaldTrump;2018-01-01 06:18;43551;193543;"As our Country rapidly grows stronger and smarter, I want to wish all of my friends, supporters, enemies, haters, and even the very dishonest Fake News Media, a Happy and Healthy New Year. 2018 will be a great year for America!";;;;"947592785519173637";https://twitter.com/realDonaldTrump/status/947592785519173637
realDonaldTrump;2018-01-01 06:00;31319;107476;"Iran, the Number One State of Sponsored Terror with numerous violations of Human Rights occurring on an hourly basis, has now closed down the Internet so that peaceful demonstrators cannot communicate. Not good!";;;;"947588263103139841";https://twitter.com/realDonaldTrump/status/947588263103139841
realDonaldTrump;2018-01-01 03:06;31492;132850;"What a year it’s been, and we're just getting started. Together, we are MAKING AMERICA GREAT AGAIN! Happy New Year!!pic.twitter.com/qsMNyN1UJG";;;;"947544600918372353";https://twitter.com/realDonaldTrump/status/947544600918372353
realDonaldTrump;2018-01-01 02:36;17796;86181;"My deepest condolences to the victims of the terrible shooting in Douglas County @ DCSheriff, and their families. We love our police and law enforcement - God Bless them all! # LESM";;@;#;"947536951464333318";https://twitter.com/realDonaldTrump/status/947536951464333318
realDonaldTrump;2017-12-31 21:36;27471;116909;"Why would smart voters want to put Democrats in Congress in 2018 Election when their policies will totally kill the great wealth created during the months since the Election. People are much better off now not to mention ISIS, VA, Judges, Strong Border, 2nd A, Tax Cuts & more?";;;;"947461470924820480";https://twitter.com/realDonaldTrump/status/947461470924820480
realDonaldTrump;2017-12-31 21:26;14915;69534;"If the Dems (Crooked Hillary) got elected, your stocks would be down 50% from values on Election Day. Now they have a great future - and just beginning!https://twitter.com/realdonaldtrump/status/947328044821336070 …";;;;"947458942719979520";https://twitter.com/realDonaldTrump/status/947458942719979520
realDonaldTrump;2017-12-31 21:03;30522;115984;"Big protests in Iran. The people are finally getting wise as to how their money and wealth is being stolen and squandered on terrorism. Looks like they will not take it any longer. The USA is watching very closely for human rights violations!";;;;"947453152806297600";https://twitter.com/realDonaldTrump/status/947453152806297600
realDonaldTrump;2017-12-31 12:46;13239;63364;"“Trump Rally: Stocks put 2017 in the record books”http://www.foxbusiness.com/markets/2017/12/29/trump-rally-stocks-put-2017-in-record-books.html …";;;;"947328044821336070";https://twitter.com/realDonaldTrump/status/947328044821336070
realDonaldTrump;2017-12-31 06:42;24297;122078;"Jobs are kicking in and companies are coming back to the U.S. Unnecessary regulations and high taxes are being dramatically Cut, and it will only get better. MUCH MORE TO COME!";;;;"947236393184628741";https://twitter.com/realDonaldTrump/status/947236393184628741
realDonaldTrump;2017-12-31 06:36;51406;205366;"I use Social Media not because I like to, but because it is the only way to fight a VERY dishonest and unfair “press,” now often referred to as Fake News Media. Phony and non-existent “sources” are being used more often than ever. Many stories & reports a pure fiction!";;;;"947235015343202304";https://twitter.com/realDonaldTrump/status/947235015343202304
realDonaldTrump;2017-12-31 05:12;16463;76441;"On Taxes: “This is the biggest corporate rate cut ever, going back to the corporate income tax rate of roughly 80 years ago.This is a huge pro-growth stimulus for the economy. Every year the Obama WH overstated how the economy would grow. Now real economics and jobs.” @ WSJ Report";;@;;"947213895286054914";https://twitter.com/realDonaldTrump/status/947213895286054914
realDonaldTrump;2017-12-31 03:02;23283;83101;"Oppressive regimes cannot endure forever, and the day will come when the Iranian people will face a choice. The world is watching!pic.twitter.com/kvv1uAqcZ9";;;;"947181212468203520";https://twitter.com/realDonaldTrump/status/947181212468203520
realDonaldTrump;2017-12-31 03:00;22956;81080;"The entire world understands that the good people of Iran want change, and, other than the vast military power of the United States, that Iran’s people are what their leaders fear the most....pic.twitter.com/W8rKN9B6RT";;;;"947180713236934657";https://twitter.com/realDonaldTrump/status/947180713236934657
realDonaldTrump;2017-12-30 11:42;49459;137985;"Many reports of peaceful protests by Iranian citizens fed up with regime’s corruption & its squandering of the nation’s wealth to fund terrorism abroad. Iranian govt should respect their people’s rights, including right to express themselves. The world is watching! # IranProtests";;;#;"946949708915924994";https://twitter.com/realDonaldTrump/status/946949708915924994
realDonaldTrump;2017-12-29 21:16;33932;141687;"The Democrats have been told, and fully understand, that there can be no DACA without the desperately needed WALL at the Southern Border and an END to the horrible Chain Migration & ridiculous Lottery System of Immigration etc. We must protect our Country at all cost!";;;;"946731576687235072";https://twitter.com/realDonaldTrump/status/946731576687235072
realDonaldTrump;2017-12-29 21:04;26590;118089;"Why is the United States Post Office, which is losing many billions of dollars a year, while charging Amazon and others so little to deliver their packages, making Amazon richer and the Post Office dumber and poorer? Should be charging MUCH MORE!";;;;"946728546633953285";https://twitter.com/realDonaldTrump/status/946728546633953285
realDonaldTrump;2017-12-29 20:46;22244;97620;"While the Fake News loves to talk about my so-called low approval rating, @ foxandfriends just showed that my rating on Dec. 28, 2017, was approximately the same as President Obama on Dec. 28, 2009, which was 47%...and this despite massive negative Trump coverage & Russia hoax!";;@;;"946724075157651457";https://twitter.com/realDonaldTrump/status/946724075157651457
realDonaldTrump;2017-12-29 08:01;61875;199883;"In the East, it could be the COLDEST New Year’s Eve on record. Perhaps we could use a little bit of that good old Global Warming that our Country, but not other countries, was going to pay TRILLIONS OF DOLLARS to protect against. Bundle up!";;;;"946531657229701120";https://twitter.com/realDonaldTrump/status/946531657229701120
realDonaldTrump;2017-12-29 07:14;14908;66981;"Together, we are MAKING AMERICA GREAT AGAIN! https://instagram.com/p/BdQ5D6Xgd7P/ pic.twitter.com/wdLQkfdy4m";;;;"946519720450252800";https://twitter.com/realDonaldTrump/status/946519720450252800
realDonaldTrump;2017-12-29 03:20;25749;73177;"I've been saying it for a long, long time. # NoKopic.twitter.com/LQl7tGhMdO";;;#;"946460939578167296";https://twitter.com/realDonaldTrump/status/946460939578167296
